Polarity,Time(min),mz,Area,Identification,mz Identification,MS/MS Sampled,Identified Lipid Feature,Redundant ID
+,2.583,1069.71692,7960.853371,,,false,false,,
-,2.584,558.33502,10579.14783,,,false,false,,
-,2.585,582.37897,2339070.295,LysoPC 18:0,,true,true,true,
-,2.585,702.3385,19520.17591,,,true,false,,
-,2.585,746.38531,6979.196599,,,false,false,,
+,2.585,546.35541,748189.2487,,,true,false,,
+,2.585,622.33978,183026.2858,,,true,false,,
+,2.585,582.42444,53072.40466,,,true,false,,
-,2.586,565.3634,14812.86087,,,true,false,,
+,2.586,524.37158,1.000133133E7,LysoPC 18:0,,true,true,false,
+,2.586,758.27246,37158.30266,,,false,false,,
+,2.586,1047.73572,27592.87778,,,false,false,,
-,2.587,362.27383,5414.190087,,,false,false,,
-,2.588,664.38257,47416.75806,,,true,false,,
-,2.588,718.30988,20488.92203,,,true,false,,
-,2.588,800.30798,11049.07536,,,false,false,,
-,2.588,522.32086,8725.785136,,,false,false,,
-,2.589,508.34134,393268.1522,,,true,false,,
-,2.589,816.28058,10880.5761,,,false,false,,
+,2.589,666.31201,15155.37604,,,false,false,,
-,2.59,740.29376,10912.15684,,,false,false,,
-,2.59,680.35614,12054.87913,,,false,false,,
-,2.591,620.33447,96667.314,,,true,false,,
-,2.591,740.36871,39238.60505,,,true,false,,
-,2.591,1105.7428,19987.13199,,,true,false,,
+,2.591,1014.15356,2293.002445,,,false,false,,
+,2.592,381.38397,16465.66579,,,false,false,,
-,2.594,838.26813,10236.02601,,,false,false,,
-,2.594,778.3244,8888.716194,,,false,false,,
-,2.594,838.34454,3967.793634,,,false,false,,
+,2.594,644.32233,29389.8412,,,false,false,,
+,2.594,628.35626,19080.08519,,,false,false,,
+,2.595,742.29657,6818.696437,,,false,false,,
+,2.595,780.25531,16994.58441,,,false,false,,
+,2.595,580.36072,10779.09319,,,false,false,,
-,2.596,822.37152,11733.58502,,,false,false,,
-,2.596,876.2218,4635.739093,,,false,false,,
+,2.598,660.29529,54081.68475,,,true,false,,
+,2.598,776.24072,4603.622511,,,false,false,,
+,2.598,663.29651,2555.569922,,,false,false,,
-,2.6,904.3761,2896.377112,,,false,false,,
-,2.601,561.38092,7246.010641,,,false,false,,
-,2.602,1143.6991,2193.580012,,,false,false,,
-,2.605,578.34753,5614.867482,,,false,false,,
-,2.606,339.29062,7425.837739,,,false,false,,
+,2.607,640.31256,15044.52478,,,false,false,,
-,2.609,533.29163,60258.02927,,,true,false,,
+,2.61,732.5473,130623.2861,,,true,false,,
+,2.61,752.47198,13150.14895,,,false,false,,
+,2.611,524.13977,7754.319635,,,false,false,,
+,2.612,517.29596,18116.12684,,,false,false,,
+,2.618,690.39948,8524.668275,,,false,false,,
+,2.621,709.49774,129397.8158,,,true,false,,
+,2.623,606.41272,14003.1723,,,false,false,,
+,2.625,316.32104,29121.02279,,,false,false,,
-,2.626,376.2529,8757.744605,,,false,false,,
-,2.628,688.38342,3812.2639,,,false,false,,
+,2.631,688.52106,158807.6451,,,true,false,,
+,2.652,462.37057,33585.35521,,,false,false,,
+,2.654,644.49518,173460.9445,,,true,false,,
+,2.657,600.46893,68458.43755,,,false,false,,
+,2.685,298.34677,20906.82974,,,false,false,,
+,2.695,556.44275,77058.21453,,,true,false,,
+,2.701,478.38977,3969.888912,,,false,false,,
+,2.705,443.25626,6604.32264,,,false,false,,
+,2.709,491.28198,6525.445399,,,false,false,,
+,2.714,405.3367,5569.978615,,,false,false,,
-,2.715,544.34192,28088.8759,,,true,false,,
+,2.715,568.33923,4520.229808,,,false,false,,
+,2.719,512.4162,64954.70883,,,true,false,,
-,2.727,427.35483,4461.897987,,,false,false,,
+,2.728,642.28741,25713.93938,,,false,false,,
-,2.731,595.27441,5311.17603,,,true,false,,
-,2.743,277.21759,67744.81655,,,false,false,,
+,2.747,390.35806,50690.79729,,,true,false,,
+,2.76,464.38736,13822.46209,,,false,false,,
+,2.763,624.48169,10233.48219,,,false,false,,
+,2.765,644.49536,97576.99556,,,true,false,,
-,2.766,797.44733,2925.597773,,,false,false,,
+,2.766,453.40536,6875.175395,,,false,false,,
+,2.773,576.36676,37207.30469,,,false,false,,
+,2.776,424.36377,23638.3281,,,false,false,,
+,2.778,588.40308,10543.98766,,,false,false,,
+,2.779,240.26868,13250.70758,,,false,false,,
+,2.78,600.46863,214392.8966,,,true,false,,
+,2.78,692.41455,7318.33335,,,false,false,,
+,2.78,662.40344,3174.778636,,,false,false,,
-,2.781,399.25443,7394.145043,,,false,false,,
-,2.781,707.48444,5070.981467,,,false,false,,
-,2.782,499.30768,5680.627373,,,false,false,,
-,2.782,646.40973,3869.026959,,,false,false,,
+,2.788,688.52124,36454.94171,,,true,false,,
+,2.789,680.41443,65586.22978,,,true,false,,
+,2.789,340.32077,47822.05851,,,false,false,,
+,2.789,619.3645,1677.812929,,,false,false,,
+,2.79,665.42468,14690.08148,,,false,false,,
+,2.793,363.31058,15354.34111,,,false,false,,
+,2.796,560.336,51160.3067,,,true,false,,
+,2.797,428.37375,372283.3461,AC 18:0,,true,false,false,
+,2.797,582.31934,2857.640352,,,false,false,,
-,2.8,558.32135,25123.00553,,,true,false,,
-,2.801,678.40039,35158.40389,,,true,false,,
+,2.804,559.35944,37939.21429,,,false,false,,
+,2.804,702.39569,3422.161392,,,false,false,,
-,2.805,556.3526,59811.95737,,,false,false,,
-,2.806,690.39948,6542.259838,,,false,false,,
+,2.806,419.31558,5454.842532,,,false,false,,
+,2.806,580.33826,5322.673935,,,false,false,,
-,2.807,447.06467,7975.329695,,,false,false,,
-,2.808,556.34186,61943.83411,LysoPE 24:4,,true,false,true,
-,2.81,227.20143,157847.2603,,,false,false,,
+,2.811,417.33649,9249.205278,,,false,false,,
+,2.813,556.44287,115536.6127,,,true,false,,
+,2.82,280.29984,10839.06883,,,false,false,,
+,2.822,281.29495,6092.42651,,,false,false,,
+,2.823,1140.81726,2130.953154,,,false,false,,
+,2.828,346.31055,3589.460066,,,false,false,,
+,2.831,517.37085,6480.134086,,,false,false,,
+,2.832,551.39038,130455.3222,,,true,false,,
+,2.833,423.39493,8664.854222,,,false,false,,
+,2.833,443.25638,5852.0885,,,false,false,,
+,2.838,332.22089,3067.481938,,,false,false,,
-,2.842,720.44678,7197.88442,,,false,false,,
+,2.847,380.33752,9858.410236,,,false,false,,
+,2.848,512.41626,168074.0148,,,true,false,,
+,2.849,414.33722,3761.120386,,,false,false,,
+,2.85,473.34512,8864.317083,,,false,false,,
+,2.85,588.34216,7304.670459,,,false,false,,
-,2.852,450.35959,7204.584126,,,false,false,,
-,2.866,327.23337,841607.8933,,,false,false,,
+,2.869,416.35245,25303.14268,,,false,false,,
+,2.875,468.38983,82505.48456,,,true,false,,
+,2.879,407.33701,68873.40937,,,true,false,,
+,2.884,319.28442,6948.411259,,,false,false,,
+,2.887,385.29263,9654.002162,,,false,false,,
+,2.888,424.36368,38444.84041,,,true,false,,
+,2.889,429.31894,8763.676859,,,false,false,,
+,2.898,363.31073,29657.50911,,,true,false,,
+,2.9,341.26614,9532.917159,,,false,false,,
+,2.902,401.26752,11067.64919,,,false,false,,
+,2.905,357.24036,5872.413613,,,false,false,,
-,2.906,496.34186,9233.117424,,,true,false,,
+,2.906,460.37851,2892.061494,,,false,false,,
+,2.918,761.42493,6160.156994,,,false,false,,
-,2.92,777.42139,23093.94352,,,true,false,,
+,2.921,519.40558,8319.857268,,,false,false,,
+,2.922,608.42877,7813.714693,,,false,false,,
+,2.926,779.43536,11800.6215,,,false,false,,
+,2.942,351.32321,16456.1238,,,false,false,,
+,2.948,300.32617,6618.149748,,,false,false,,
-,2.96,425.21042,8120.11388,,,false,false,,
+,2.961,376.35767,7566.826537,,,false,false,,
-,2.964,283.24374,96988.8007,,,true,false,,
-,2.964,485.22266,9262.761754,,,true,false,,
+,2.97,367.19461,9196.171406,,,false,false,,
-,2.971,409.23645,40537.3935,,,true,false,,
-,2.975,463.28973,9189.649308,,,true,false,,
+,2.975,373.21158,5907.614958,,,false,false,,
-,2.976,327.2334,1353054.977,,,false,false,,
-,2.978,427.15869,68316.01792,,,true,false,,
+,2.978,618.37531,3299.389842,,,false,false,,
-,2.981,437.29138,19850.83903,,,true,false,,
+,2.981,449.198,4649.903951,,,false,false,,
+,2.982,490.45969,16243.33893,,,false,false,,
+,2.984,374.34174,7069.574329,,,false,false,,
+,2.985,547.32361,1274.974898,,,false,false,,
+,2.991,584.37231,25418.36337,,,true,false,,
-,2.992,545.29175,9281.282187,,,false,false,,
-,2.993,327.33905,1860.070393,,,false,false,,
-,2.999,319.22833,6685.765807,,,false,false,,
-,3.001,582.35748,14028.9454,,,true,false,,
+,3.001,491.34872,11763.2108,,,false,false,,
+,3.021,358.36807,46618.58538,,,true,false,,
-,3.025,466.33109,25260.80063,,,true,false,,
+,3.029,468.3457,48869.4682,,,true,false,,
-,3.037,532.34186,299766.9292,LysoPE 22:2,,true,true,true,
-,3.037,614.34546,5316.746822,,,false,false,,
-,3.04,690.33154,3798.81443,,,false,false,,
-,3.04,652.30072,2571.86677,,,false,false,,
+,3.04,627.54382,5063.093808,,,false,false,,
+,3.044,670.27936,5979.607917,,,false,false,,
+,3.046,534.3562,360863.1563,LysoPE 22:2,,true,false,false,
+,3.047,393.33643,56257.00714,,,true,false,,
+,3.047,556.33795,25999.89413,,,true,false,,
+,3.048,572.30396,10152.89173,,,false,false,,
-,3.049,630.31885,4329.466753,,,false,false,,
+,3.053,517.29297,17682.34042,,,false,false,,
+,3.054,300.28961,18288.00387,,,false,false,,
+,3.055,578.32123,1992.760679,,,false,false,,
-,3.056,529.29663,16841.56173,,,true,false,,
+,3.057,768.25562,2573.015549,,,false,false,,
+,3.058,694.46637,9052.153832,,,false,false,,
-,3.059,556.34186,5305.751808,,,false,false,,
-,3.062,497.32788,38760.84888,,,true,false,,
-,3.065,564.33148,8416.264298,,,false,false,,
+,3.071,554.43964,55673.82466,,,true,false,,
+,3.079,356.35223,16827.95856,,,false,false,,
+,3.08,586.35205,3440.209103,,,false,false,,
+,3.081,608.3606,4733.518237,,,false,false,,
+,3.084,527.34229,10815.74686,,,false,false,,
+,3.088,510.39233,355129.4399,,,true,false,,
+,3.088,508.39548,11432.05072,,,false,false,,
-,3.089,568.3996,69966.76538,,,true,false,,
-,3.089,315.23306,2990.134583,,,false,false,,
+,3.089,454.38947,36709.5659,,,false,false,,
+,3.092,566.34595,20195.39783,,,false,false,,
+,3.092,532.37451,19282.51695,,,false,false,,
+,3.094,530.23468,1927.692789,,,false,false,,
+,3.097,525.39587,2029.634,,,false,false,,
+,3.101,651.44385,84878.01665,,,true,false,,
+,3.102,598.38495,7192.219527,,,false,false,,
-,3.103,634.41058,46443.79536,LysoPC 22:2,,true,false,true,
+,3.107,576.40271,187058.3395,LysoPC 22:2,,true,false,false,
+,3.115,524.39294,9283.539143,,,false,false,,
-,3.116,423.27924,14842.28822,,,true,false,,
+,3.12,491.34872,8145.987184,,,false,false,,
+,3.122,650.44019,426519.9195,,,true,false,,
-,3.128,708.44745,69989.25073,,,true,false,,
-,3.132,546.31885,3632.130907,,,false,false,,
+,3.133,564.29742,6470.718662,,,false,false,,
+,3.135,1010.72186,5012.293194,,,false,false,,
+,3.136,466.32959,382510.7459,,,true,false,,
+,3.137,966.69434,10909.87732,,,false,false,,
-,3.139,464.31528,170950.944,,,true,false,,
+,3.142,249.16386,7802.865216,,,false,false,,
+,3.144,501.31903,57140.49448,,,true,false,,
+,3.145,459.32242,13513.97897,,,false,false,,
-,3.146,604.33936,3568.431535,,,false,false,,
+,3.158,508.3768,656754.6425,,,true,false,,
+,3.163,530.35852,32333.29127,,,true,false,,
+,3.163,374.30359,11750.53104,,,false,false,,
-,3.165,566.38379,114635.8388,,,true,false,,
-,3.165,492.3468,22162.29674,,,true,false,,
+,3.165,606.34454,10884.28835,,,false,false,,
+,3.17,479.33716,19290.63411,,,false,false,,
+,3.173,546.33276,13483.51405,,,false,false,,
+,3.18,564.42657,4065.804663,,,false,false,,
+,3.181,215.17973,3246.701071,,,false,false,,
+,3.191,922.66846,21356.101,,,false,false,,
+,3.193,316.32114,31713.43629,,,true,false,,
+,3.195,536.336,15972.10778,,,false,false,,
+,3.2,486.11301,5223.199963,,,false,false,,
+,3.2,708.49438,1564.384585,,,false,false,,
+,3.201,463.30301,3652.698629,,,false,false,,
+,3.209,878.6427,41540.98718,,,false,false,,
+,3.209,451.24652,4103.527115,,,false,false,,
+,3.21,370.33173,4016.029573,,,false,false,,
+,3.213,314.34192,393514.8692,,,true,false,,
+,3.222,355.069,25264.40712,,,false,false,,
+,3.223,296.29498,6344.091501,,,false,false,,
+,3.225,335.29462,16687.43474,,,false,false,,
+,3.225,686.43933,15984.94528,,,false,false,,
-,3.226,224.02698,22240.2212,,,true,false,,
-,3.228,606.37976,8920.322012,,,false,false,,
-,3.232,353.14322,17216.27067,,,true,false,,
+,3.234,765.63379,3181.995044,,,false,false,,
+,3.236,650.44055,1239922.809,,,true,false,,
+,3.238,899.57324,2516.074667,,,false,false,,
+,3.239,366.33664,5032.074487,,,false,false,,
+,3.241,352.32104,38233.65127,,,false,false,,
+,3.242,834.61658,60895.64364,,,false,false,,
-,3.244,708.44775,107402.4362,,,true,false,,
+,3.246,410.37442,17982.01659,,,false,false,,
-,3.25,520.34155,10119.33703,,,true,false,,
-,3.251,253.21753,783369.0585,,,false,false,,
+,3.251,503.08554,5455.338404,,,false,false,,
+,3.251,578.38342,4454.967501,,,false,false,,
-,3.253,411.20679,7320.28556,,,false,false,,
+,3.253,595.44733,7204.828224,,,false,false,,
+,3.254,402.35822,16810.2802,,,false,false,,
+,3.254,855.54663,3673.083385,,,false,false,,
+,3.255,811.52026,6770.446977,,,false,false,,
+,3.261,380.332,4431.039348,,,false,false,,
+,3.269,436.26974,2899.656863,,,false,false,,
-,3.272,335.22107,19362.58111,,,true,false,,
+,3.278,767.49231,9112.95608,,,false,false,,
+,3.279,581.36505,10962.8493,,,false,false,,
+,3.279,706.4325,2533.710765,,,false,false,,
+,3.28,429.26498,37304.09591,,,false,false,,
+,3.285,790.5899,101758.647,,,true,false,,
-,3.291,580.34021,5569.2956,,,true,false,,
+,3.299,366.29254,3987.850849,,,false,false,,
+,3.312,363.18066,10958.0989,,,false,false,,
+,3.313,746.56329,121613.5147,,,true,false,,
+,3.315,564.39978,7527.441171,,,false,false,,
+,3.315,562.35107,2708.665692,,,false,false,,
-,3.332,603.37079,6868.635692,,,false,false,,
-,3.348,303.23315,1894173.814,,,false,false,,
+,3.35,439.28427,163613.095,,,true,false,,
-,3.351,437.27002,11702.30196,,,true,false,,
-,3.353,339.29071,3821.228548,,,false,false,,
+,3.353,702.53662,143206.1358,,,true,false,,
-,3.364,317.21213,3779.568052,,,false,false,,
+,3.375,658.51044,164607.4187,,,true,false,,
+,3.375,580.36115,70837.14291,,,true,false,,
+,3.375,536.40771,13716.99364,,,false,false,,
-,3.379,578.34723,33538.23367,,,true,false,,
+,3.381,242.28415,173851.7708,,,true,false,,
+,3.385,614.4837,161532.694,,,true,false,,
-,3.399,522.35718,5109.738411,,,false,false,,
+,3.399,445.11926,24683.75648,,,false,false,,
-,3.403,223.02785,104803.6938,,,true,false,,
+,3.404,823.63831,19761.15839,,,false,false,,
+,3.406,699.63306,24493.92008,,,false,false,,
-,3.41,431.28033,23839.32801,,,true,false,,
+,3.415,570.45764,191051.634,,,true,false,,
+,3.416,723.6767,51494.68409,,,true,false,,
+,3.417,332.22067,215418.8691,,,true,false,,
-,3.418,632.39471,20743.9145,,,true,false,,
+,3.42,538.38702,176692.8918,LysoPC 19:0,,true,false,false,
+,3.421,240.26852,491099.5443,,,true,false,,
-,3.423,440.33844,30503.36159,,,true,false,,
+,3.423,332.3309,6.667374464E7,,,false,false,,
-,3.424,596.39471,33996.3182,LysoPC 19:0,,true,false,true,
-,3.426,303.13739,9450.350089,,,true,false,,
+,3.427,560.37164,64698.53478,,,true,false,,
-,3.429,694.57922,19952.98118,,,true,false,,
-,3.433,403.15854,95301.87181,,,true,false,,
-,3.435,401.20987,14718.85673,,,true,false,,
-,3.435,543.22589,7232.127145,,,false,false,,
-,3.436,450.35944,464101.7431,,,true,false,,
-,3.436,467.24017,3396.516804,,,false,false,,
-,3.438,259.24307,55719.181,,,true,false,,
-,3.439,461.22287,22948.90435,,,true,false,,
-,3.44,303.23328,4161156.419,,,false,false,,
-,3.441,490.3309,9490.724355,,,false,false,,
-,3.441,285.22278,8487.819053,,,true,false,,
-,3.443,385.23636,102351.7841,,,true,false,,
-,3.443,325.27478,51447.70009,,,true,false,,
-,3.444,629.45691,5962.576356,,,false,false,,
-,3.444,619.21252,3533.11277,,,false,false,,
+,3.445,526.4317,175152.4722,,,true,false,,
-,3.447,777.53357,10914.83224,,,true,false,,
-,3.448,479.19513,5978.323675,,,false,false,,
-,3.448,509.26898,5093.574316,,,false,false,,
+,3.459,482.40485,121213.0354,,,true,false,,
-,3.465,734.46313,66500.92538,,,true,false,,
+,3.477,676.45502,483918.097,,,true,false,,
-,3.484,547.36493,10745.08443,,,true,false,,
+,3.493,395.39969,94121.35366,,,true,false,,
+,3.51,330.33621,83334.75383,,,true,false,,
+,3.513,332.21768,115670.1494,,,false,false,,
-,3.522,732.44751,3700.690558,,,false,false,,
+,3.534,674.43958,51911.59024,,,true,false,,
+,3.537,332.3309,1.305031149E7,,,false,false,,
+,3.547,560.37152,182003.5037,,,true,false,,
+,3.548,878.64215,4685.350707,,,false,false,,
-,3.551,558.35767,91999.14453,,,true,false,,
+,3.561,419.35239,14234.30604,,,true,false,,
+,3.561,582.35284,6905.455339,,,false,false,,
+,3.568,636.46045,27768.91361,,,false,false,,
-,3.581,545.29236,3972.38346,,,true,false,,
-,3.584,599.3396,2856.245227,,,true,false,,
+,3.596,544.34125,3561.285644,,,false,false,,
-,3.623,660.42609,13701.65649,,,true,false,,
+,3.641,602.41882,37621.9388,,,true,false,,
+,3.643,422.44699,33716.97191,,,false,false,,
+,3.655,366.29254,4131.756389,,,false,false,,
+,3.662,588.36707,3474.952882,,,false,false,,
-,3.674,497.32901,2507.024389,,,false,false,,
+,3.68,372.34741,6944.966615,,,false,false,,
+,3.685,519.38031,8437.394323,,,false,false,,
+,3.687,499.28348,2046.242396,,,false,false,,
+,3.691,328.35764,43729.15191,,,true,false,,
-,3.694,728.41827,2787.244556,,,false,false,,
+,3.694,606.3775,15041.69356,,,false,false,,
-,3.703,463.28961,7574.746772,,,true,false,,
+,3.708,594.37714,5669.471152,,,false,false,,
+,3.715,442.38992,2183.878913,,,false,false,,
+,3.717,564.4024,9936.969413,,,false,false,,
-,3.719,604.36359,5035.06059,,,true,false,,
+,3.723,730.43066,5337.577883,,,false,false,,
+,3.726,383.30603,5509.064223,,,false,false,,
-,3.735,381.24396,1811.64608,,,false,false,,
-,3.739,592.36383,4272.641316,,,true,false,,
+,3.742,726.49536,4346.063592,,,false,false,,
-,3.753,241.21733,89752.23789,,,false,false,,
-,3.754,379.15891,8991.902606,,,false,false,,
-,3.757,361.23666,8946.976321,,,true,false,,
+,3.757,638.49768,9188.85772,,,false,false,,
-,3.758,291.23337,18752.43486,,,true,false,,
+,3.758,437.41074,20224.63836,,,true,false,,
+,3.758,497.2681,3283.66035,,,false,false,,
-,3.76,279.23331,432632.3418,,,false,false,,
-,3.761,454.31613,3412.679606,,,false,false,,
+,3.762,604.3996,5853.563051,,,false,false,,
+,3.77,517.36469,19059.47276,,,true,false,,
+,3.771,548.37164,8997.242496,,,false,false,,
-,3.774,546.35779,4203.765196,,,true,false,,
-,3.783,466.35443,8014.376687,,,true,false,,
+,3.789,680.45117,77629.33254,,,true,false,,
-,3.799,453.31317,8091.359837,,,true,false,,
+,3.802,340.35739,7382.776383,,,false,false,,
+,3.803,347.25827,3217.023634,,,false,false,,
+,3.819,390.31451,3633.713166,,,false,false,,
-,3.831,738.45789,6111.10558,,,false,false,,
+,3.832,336.32629,11843.34594,,,false,false,,
-,3.843,629.29254,7251.532065,,,true,false,,
-,3.856,329.24908,766075.9329,,,false,false,,
+,3.858,478.3222,583103.2065,,,true,false,,
+,3.87,356.38852,7358.245543,,,false,false,,
-,3.889,540.26465,2333.132898,,,false,false,,
-,3.895,656.39508,2477.055424,,,false,false,,
+,3.897,442.35275,5281.046868,,,false,false,,
-,3.902,440.33881,95456.14354,,,true,false,,
+,3.902,518.45404,2530.185639,,,false,false,,
+,3.905,560.37152,11472.16633,,,true,false,,
-,3.91,558.35767,8053.853214,,,true,false,,
+,3.929,256.22504,2593.134108,,,false,false,,
-,3.943,414.32324,1135.932832,,,false,false,,
+,3.944,421.41544,11494.5859,,,false,false,,
+,3.947,256.30002,1130785.921,,,true,false,,
-,3.957,508.34167,8396.745338,,,true,false,,
+,3.957,510.3551,13956.87719,,,true,false,,
+,3.965,654.54376,3888.29154,,,false,false,,
+,3.967,614.53656,42357.27791,,,true,false,,
+,3.971,708.44574,1472.596345,,,false,false,,
+,3.972,661.51306,33978.88992,,,true,false,,
+,3.982,347.18542,4377.090775,,,false,false,,
+,3.988,403.24789,6649.665055,,,false,false,,
+,3.99,517.36475,6293.914236,,,false,false,,
+,4.001,298.34714,4632.889662,,,false,false,,
+,4.016,588.53333,22226.901,,,true,false,,
+,4.018,270.31577,13940.8869,,,false,false,,
+,4.02,553.3573,4219.146216,,,false,false,,
+,4.025,314.30542,5210.929256,,,false,false,,
+,4.03,581.46967,5096.306358,,,false,false,,
+,4.031,315.23209,43593.2084,,,true,false,,
+,4.038,464.35876,7097.146754,,,false,false,,
+,4.042,534.4165,3158.895717,,,false,false,,
+,4.052,553.40625,7222.866109,,,false,false,,
+,4.06,980.7124,3423.803958,,,false,false,,
+,4.065,296.33124,6067.399402,,,false,false,,
-,4.074,513.32312,2344.72267,,,false,false,,
